flow,time,media,maior_valor,menor_valor
c1 -> s1,10,1.0513297310252572,1.059886962947198,1.0419328392333913
c1 -> s1,31,4.09295553328742,4.132549902021414,4.05520925719092
c1 -> s1,52,3.1667027670593884,3.210494551440682,3.099195309723467
c1 -> s1,73,3.1946974393669936,3.210347058790188,3.114397096383923
c2 -> s2,10,2.121277477786591,2.137689733866948,2.109895149794681
c2 -> s2,31,2.1132499143012486,2.1263138562569703,2.0863042743202653
c2 -> s2,52,3.1865678573239373,3.210597136848724,3.103062931810324
c2 -> s2,73,3.191239137386892,3.2244241285727497,3.1050035349587084
c3 -> s3,10,3.177275864550209,3.209959778277881,3.153422318339703
c3 -> s3,31,3.1752499897143496,3.1946680398766816,3.147285392481978
c3 -> s3,52,3.1677496408133665,3.210080520953127,3.1045155467017373
c3 -> s3,73,3.132905555776525,3.212095410672448,3.102514735985032
