flow,throughput,time
c1 -> s1,1.054945264940619,10
c2 -> s2,2.109895149794681,10
c3 -> s3,3.2024354099296675,10
c1 -> s1,4.084950383157423,31
c2 -> s2,2.1178413385309014,31
c3 -> s3,3.192878463201336,31
c1 -> s1,3.205805656259997,52
c2 -> s2,3.2057808444435363,52
c3 -> s3,3.109549151760828,52
c1 -> s1,3.2071998701545588,73
c2 -> s2,3.2098236012242114,73
c3 -> s3,3.102514735985032,73
c1 -> s1,1.0481216140102545,10
c2 -> s2,2.111036752015956,10
c3 -> s3,3.164821935172571,10
c1 -> s1,4.05520925719092,31
c2 -> s2,2.119449108853434,31
c3 -> s3,3.168080829819183,31
c1 -> s1,3.2092830870566758,52
c2 -> s2,3.20663707411494,52
c3 -> s3,3.1045155467017373,52
c1 -> s1,3.2046459530883027,73
c2 -> s2,3.210764031885457,73
c3 -> s3,3.1029416765450377,73
c1 -> s1,1.059886962947198,10
c2 -> s2,2.1257160085314157,10
c3 -> s3,3.1688492005902087,10
c1 -> s1,4.098211653407119,31
c2 -> s2,2.111333921122206,31
c3 -> s3,3.1587857225349323,31
c1 -> s1,3.109178522285289,52
c2 -> s2,3.2104928513756006,52
c3 -> s3,3.2088550233658664,52
c1 -> s1,3.207927782089405,73
c2 -> s2,3.210059455179131,73
c3 -> s3,3.10292964409664,73
c1 -> s1,1.048431006023632,10
c2 -> s2,2.121090159725647,10
c3 -> s3,3.1672272847614336,10
c1 -> s1,4.063936947270604,31
c2 -> s2,2.1178739969810123,31
c3 -> s3,3.1911661922059475,31
c1 -> s1,3.210494551440682,52
c2 -> s2,3.203050043093129,52
c3 -> s3,3.105647630280877,52
c1 -> s1,3.2050806978335142,73
c2 -> s2,3.2049601095010725,73
c3 -> s3,3.104984086571596,73
c1 -> s1,1.0493785442051595,10
c2 -> s2,2.1198427949384664,10
c3 -> s3,3.1910724644719703,10
c1 -> s1,4.112631638406393,31
c2 -> s2,2.0863042743202653,31
c3 -> s3,3.162372575044748,31
c1 -> s1,3.1047467124024286,52
c2 -> s2,3.210597136848724,52
c3 -> s3,3.209523966691725,52
c1 -> s1,3.210347058790188,73
c2 -> s2,3.206793247506571,73
c3 -> s3,3.103277697214177,73
c1 -> s1,1.0556602020382708,10
c2 -> s2,2.128802426452825,10
c3 -> s3,3.164987386646984,10
c1 -> s1,4.093670198747153,31
c2 -> s2,2.115512026501512,31
c3 -> s3,3.147285392481978,31
c1 -> s1,3.206765977712087,52
c2 -> s2,3.208101683832106,52
c3 -> s3,3.10834238038316,52
c1 -> s1,3.2085903951522226,73
c2 -> s2,3.1050035349587084,73
c3 -> s3,3.2120954106724477,73
c1 -> s1,1.0542058255961373,10
c2 -> s2,2.133782371801701,10
c3 -> s3,3.1787685311563187,10
c1 -> s1,4.116051058550455,31
c2 -> s2,2.1247578414798203,31
c3 -> s3,3.1880289744567287,31
c1 -> s1,3.1029953609133085,52
c2 -> s2,3.2084366021812563,52
c3 -> s3,3.210080520953127,52
c1 -> s1,3.208616328740654,73
c2 -> s2,3.106858131596584,73
c3 -> s3,3.2079119245926955,73
c1 -> s1,1.0476802121525268,10
c2 -> s2,2.1141876932378163,10
c3 -> s3,3.153422318339703,10
c1 -> s1,4.132549902021414,31
c2 -> s2,2.0931482586452197,31
c3 -> s3,3.158329375063327,31
c1 -> s1,3.2084184536728024,52
c2 -> s2,3.1055905262375503,52
c3 -> s3,3.2061145637185957,52
c1 -> s1,3.114397096383923,73
c2 -> s2,3.2237781309640576,73
c3 -> s3,3.172162740516102,73
c1 -> s1,1.0419328392333913,10
c2 -> s2,2.137689733866948,10
c3 -> s3,3.209959778277881,10
c1 -> s1,4.082121314746506,31
c2 -> s2,2.1263138562569703,31
c3 -> s3,3.1946680398766816,31
c1 -> s1,3.099195309723467,52
c2 -> s2,3.2039288793022056,52
c3 -> s3,3.208510283059933,52
c1 -> s1,3.205305343075041,73
c2 -> s2,3.209927002480379,73
c3 -> s3,3.1028321538533583,73
c1 -> s1,1.0530548391053816,10
c2 -> s2,2.1107316875004485,10
c3 -> s3,3.171214336155354,10
c1 -> s1,4.090222979376218,31
c2 -> s2,2.119964520321147,31
c3 -> s3,3.190904332458636,31
c1 -> s1,3.210144039127144,52
c2 -> s2,3.103062931810324,52
c3 -> s3,3.206357341217817,52
c1 -> s1,3.1748638683621286,73
c2 -> s2,3.2244241285727497,73
c3 -> s3,3.117405487718162,73
