flow,bandwidth,media,maior_valor,menor_valor
c1 -> s1,1,1.0272520933823324,1.0276195011265146,1.0268818836338252
c1 -> s1,2,2.0710999685016818,2.0713774069189266,2.070512565950952
c1 -> s1,3,3.010759253838238,3.011020107180145,3.0098147761090046
c1 -> s1,4,4.031174085793657,4.033793275249649,4.0282033899384295
c1 -> s1,5,4.994392597466552,4.994936801375624,4.99141299295887
c1 -> s1,6,5.999973702548566,6.002792864660711,5.996756493877334
c1 -> s1,7,6.978365200275003,6.978436628428498,6.978267787282632
c1 -> s1,8,7.975408237873117,7.97673772626342,7.97265533220823
c1 -> s1,9,8.962771725929935,8.967171206971509,8.96197044111317
c1 -> s1,10,9.519948490384456,9.523186385630666,9.513705399334992
c2 -> s2,1,1.0272509232756493,1.0273279890392517,1.0268861761777712
c2 -> s2,2,2.071313559700967,2.0718553893035865,2.070510299140876
c2 -> s2,3,3.010672871462792,3.011015909922763,3.009772538101991
c2 -> s2,4,4.031772560639249,4.0334120680428684,4.029751339971791
c2 -> s2,5,4.994687810235618,4.99690613605889,4.992740422556197
c2 -> s2,6,5.999887892880585,6.003156277311882,5.9977165266137655
c2 -> s2,7,6.978401542855474,6.978841046615058,6.97824902765964
c2 -> s2,8,7.976509267048558,7.978182775677557,7.975772491651718
c2 -> s2,9,8.961346539558459,8.962136415244764,8.958447172594536
c2 -> s2,10,9.519009205581831,9.52219419144922,9.514452705855575
c3 -> s3,1,1.0272279968443505,1.0274144328993509,1.0268850519366024
c3 -> s3,2,2.071268460613345,2.071409788055991,2.0705453322146217
c3 -> s3,3,3.0107425742804503,3.011151127454871,3.0090723388046645
c3 -> s3,4,4.031634985152509,4.032917272534167,4.028196176173172
c3 -> s3,5,4.994450496858136,4.994714987802324,4.992704147321603
c3 -> s3,6,5.999627766922157,6.002027124630757,5.99758348702206
c3 -> s3,7,6.978053896907042,6.97839493849706,6.975521618459877
c3 -> s3,8,7.976184630404973,7.978081153587462,7.975040040680794
c3 -> s3,9,8.961314776396284,8.9622345748822,8.95841418292218
c3 -> s3,10,9.51963326779328,9.52298493170122,9.515559327179837
