flow,bandwidth,media,maior_valor,menor_valor
c1 -> s1,1,0.9882417960725058,1.0062701923254245,0.947614126395821
c1 -> s1,2,1.0066392908156445,1.1611463034554987,0.9700593074990737
c1 -> s1,3,0.9993382775487294,1.0124480540127534,0.973016299099117
c1 -> s1,4,0.9722909106913061,0.9932555514124846,0.9522300601913612
c1 -> s1,5,0.9997460981275108,1.015134502979504,0.9669619713805376
c1 -> s1,6,0.974191331687285,1.001941652260966,0.9541877627313968
c1 -> s1,7,0.9874260095097881,1.0140885463344689,0.940752726573337
c1 -> s1,8,0.9872221227484916,1.016756823371978,0.955182137080349
c1 -> s1,9,0.9860989275209006,1.0150610119135923,0.9512555157607298
c1 -> s1,10,0.9875523552756384,1.0239686828836134,0.95985776377652
c2 -> s2,1,1.005324103117366,1.0067257381538788,1.0013303219884349
c2 -> s2,2,2.0431667581539408,2.045954806658297,2.03240920307431
c2 -> s2,3,2.5291721395980113,2.5512607976253,2.5085108219827985
c2 -> s2,4,2.006952794060344,2.033825542509419,1.9779853383494392
c2 -> s2,5,1.9971696803733974,2.0423929563833267,1.936304075487471
c2 -> s2,6,1.99213389308929,2.072285416922121,1.9145974237383685
c2 -> s2,7,1.9870921201531684,2.0401129983749957,1.9409591801125077
c2 -> s2,8,1.973958389932766,2.0637600831395058,1.9063518967116333
c2 -> s2,9,2.0024927095443905,2.061427026307997,1.915939554442796
c2 -> s2,10,1.9812757751894785,2.049601641566074,1.932857543898495
c3 -> s3,1,1.0040009566397752,1.0062618119100737,1.0003800692325284
c3 -> s3,2,2.0382713643045136,2.046046906766317,2.0314608051245835
c3 -> s3,3,3.0757494220452903,3.0823358124028752,3.06672960245016
c3 -> s3,4,4.028455505673603,4.04548691793355,3.965979829812441
c3 -> s3,5,4.950553763367142,4.96870211235274,4.9313553437283
c3 -> s3,6,5.945690922485231,5.97731728223191,5.915572000624263
c3 -> s3,7,6.504290053482732,6.55642839305373,6.441241625911367
c3 -> s3,8,6.522749101371109,6.585305369184443,6.46439676902434
c3 -> s3,9,6.496539835528152,6.550987551025584,6.429870516375592
c3 -> s3,10,6.516751297919347,6.56687786949639,6.432820564672204
