flow,bandwidth,media,maior_valor,menor_valor
c1 -> s1,1,1.004504476403055,1.0063843394986014,1.0003743502834437
c1 -> s1,2,2.0449153903173487,2.045826610620541,2.037242542517224
c1 -> s1,3,2.9852970871809266,3.0234752443075976,2.965609041921428
c1 -> s1,4,3.1648498537841623,3.2002961631681868,3.096811137754554
c1 -> s1,5,3.1552221039322648,3.205125565548841,3.1012536314541417
c1 -> s1,6,3.145481774131608,3.197181359747006,3.0952192543679526
c1 -> s1,7,3.1506928697825,3.195955928160766,3.0986962734611403
c1 -> s1,8,3.1601447894975605,3.190752311261669,3.097892911856364
c1 -> s1,9,3.1599583905181983,3.195713678900726,3.106591262609232
c1 -> s1,10,3.1757336613241214,3.2008399044822267,3.097646597864657
c2 -> s2,1,1.0043895070931623,1.00653484580029,0.9997442861347532
c2 -> s2,2,2.0425808265561187,2.046058267706542,2.037112620439109
c2 -> s2,3,2.991826572511095,3.019040834336395,2.959565029252799
c2 -> s2,4,3.1722674548872076,3.195691742532889,3.1040859252912227
c2 -> s2,5,3.1682667344423274,3.1966248037676603,3.1015381792230814
c2 -> s2,6,3.1684329307094643,3.1959066270492973,3.097323753026807
c2 -> s2,7,3.1836635087113168,3.205145911176276,3.11588034442275
c2 -> s2,8,3.1748043596284043,3.1964104549219075,3.107884856070088
c2 -> s2,9,3.170009999893772,3.196093726513388,3.085750889836544
c2 -> s2,10,3.1235395020915115,3.1990460692264024,3.1000914527547803
c3 -> s3,1,1.004702418169054,1.0062482439145006,1.000819243101417
c3 -> s3,2,2.0392408623383953,2.0458383747772744,2.031993319625962
c3 -> s3,3,2.9755708479202916,2.9977193679718903,2.9609914543180142
c3 -> s3,4,3.148585262544582,3.1962195252926646,3.0967401076869567
c3 -> s3,5,3.165233406388019,3.195231102236172,3.106212839368384
c3 -> s3,6,3.1700579891130323,3.195926852962303,3.0969005422988127
c3 -> s3,7,3.149061751093644,3.2098892502860465,3.1012370753250478
c3 -> s3,8,3.1507697769911682,3.1959673055563464,3.09789720125296
c3 -> s3,9,3.1541805545163184,3.1963769457538773,3.097922937881984
c3 -> s3,10,3.1941399619512527,3.209882901618966,3.1844212505209764
