,,SEM LIMITA‚ÌO,,,,,,,,,,COM LIMITA‚ÌO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
flow,banda,vaz‹o1,vaz‹o2,vaz‹o3,vaz‹o4,vaz‹o5,vaz‹o6,,media,,,prio,flow,banda,vaz‹o1,vaz‹o2,vaz‹o3,vaz‹o4,vaz‹o5,vaz‹o6,,média,,,
c1 -> s1,1,0.99,0.99,1,1,1,0.99,,0.995,,,40000,c1 -> s1,1,0.913,0.913,0.914,0.913,0.912,0.913,,0.913,,,
c2 -> s2,1,1,1,1,0.99,1,1,,1,,,50000,c2 -> s2,1,1,1,1,0.99,1,1,,1,,,
c3 -> s3,1,1,0.99,0.99,1,1,1,,1,,,60000,c3 -> s3,1,1,0.99,0.99,1,1,1,,1,,,
c1 -> s1,2,2,2,1.99,2,1.99,2,,2,,,40000,c1 -> s1,2,0.914,0.918,0.917,0.914,0.913,0.918,,0.9155,,,
c2 -> s2,2,2,1.99,2,2,1.99,1.99,,1.995,,,50000,c2 -> s2,2,2,1.99,1.99,2,1.99,1.99,,1.99,,,
c3 -> s3,2,1.99,2,2,1.99,2,2,,2,,,60000,c3 -> s3,2,1.99,2,2,1.99,2,2,,2,,,
c1 -> s1,3,2.99,3,2.99,3,3,2.99,,2.995,,,40000,c1 -> s1,3,0.913,0.914,0.917,0.913,0.914,0.914,,0.914,,,
c2 -> s2,3,3,2.99,3,3,2.99,3,,3,,,50000,c2 -> s2,3,2.73,2.73,2.72,2.73,2.73,2.73,,2.73,,,
c3 -> s3,3,3,3,3,2.99,3,3,,3,,,60000,c3 -> s3,3,2.99,2.99,3,2.99,2.99,2.99,,2.99,,,
c1 -> s1,4,3.33,3.36,3.37,3.16,3.34,3.3,,3.335,,,40000,c1 -> s1,4,0.914,0.917,0.912,0.914,0.914,0.915,,0.914,,,
c2 -> s2,4,3.49,3.34,3.41,3.58,3.29,3.28,,3.375,,,50000,c2 -> s2,4,2.73,2.73,2.72,2.73,2.73,2.72,,2.73,,,
c3 -> s3,4,3.35,3.33,3.44,3.33,3.38,3.44,,3.365,,,60000,c3 -> s3,4,4,3.99,3.99,3.99,3.99,3.99,,3.99,,,
c1 -> s1,5,3.35,3.36,3.38,3.44,3.31,3.24,,3.355,,,40000,c1 -> s1,5,0.913,0.914,0.913,0.913,0.913,0.915,,0.913,,,
c2 -> s2,5,3.39,3.33,3.33,3.21,3.14,3.34,,3.33,,,50000,c2 -> s2,5,2.73,2.73,2.72,2.73,2.71,2.73,,2.73,,,
c3 -> s3,5,3.34,3.33,3.36,3.35,3.56,3.41,,3.355,,,60000,c3 -> s3,5,4.99,4.99,4.99,4.99,4.99,4.99,,4.99,,,
c1 -> s1,6,3.39,3.4,3.35,3.5,3.34,3.18,,3.37,,,40000,c1 -> s1,6,0.914,0.913,0.913,0.914,0.913,0.914,,0.9135,,,
c2 -> s2,6,3.34,3.28,3.31,3.29,3.28,3.44,,3.3,,,50000,c2 -> s2,6,2.73,2.73,2.71,2.72,2.73,2.73,,2.73,,,
c3 -> s3,6,3.38,3.33,3.39,3.32,3.38,3.3,,3.355,,,60000,c3 -> s3,6,5.99,5.99,5.99,5.99,5.99,5.99,,5.99,,,
c1 -> s1,7,3.38,3.28,3.57,3.31,3.29,3.41,,3.345,,,40000,c1 -> s1,7,0.875,0.876,0.874,0.875,0.876,0.875,,0.875,,,
c2 -> s2,7,3.35,3.37,3.18,3.39,3.35,3.33,,3.35,,,50000,c2 -> s2,7,2.13,2.14,2.13,2.14,2.13,2.14,,2.135,,,
c3 -> s3,7,3.29,3.38,3.41,3.37,3.4,3.38,,3.38,,,60000,c3 -> s3,7,6.99,6.99,6.99,6.99,6.99,6.99,,6.99,,,
c1 -> s1,8,3.4,3.5,3.33,3.32,3.43,3.16,,3.365,,,40000,c1 -> s1,8,0.733,0.731,0.732,0.736,0.733,0.734,,0.733,,,
c2 -> s2,8,3.38,3.24,3.36,3.45,3.31,3.48,,3.37,,,50000,c2 -> s2,8,1.29,1.31,1.28,1.29,1.28,1.28,,1.285,,,
c3 -> s3,8,3.27,3.34,3.38,3.29,3.33,3.34,,3.335,,,60000,c3 -> s3,8,7.99,7.99,7.99,7.99,7.99,7.99,,7.99,,,
c1 -> s1,9,3.34,3.21,3.32,3.45,3.41,3.28,,3.33,,,40000,c1 -> s1,9,0.711,0.713,0.707,0.706,0.706,0.709,,0.708,,,
c2 -> s2,9,3.31,3.44,3.53,3.33,3.28,3.37,,3.35,,,50000,c2 -> s2,9,1.16,1.15,1.16,1.14,1.15,1.15,,1.15,,,
c3 -> s3,9,3.37,3.38,3.18,3.36,3.37,3.35,,3.365,,,60000,c3 -> s3,9,8.16,8.16,8.13,8.15,8.16,8.15,,8.155,,,
c1 -> s1,10,3.34,3.27,3.35,3.18,3.35,3.34,,3.34,,,40000,c1 -> s1,10,0.709,0.707,0.707,0.705,0.704,0.708,,0.707,,,
c2 -> s2,10,3.36,3.38,3.37,3.51,3.29,3.33,,3.365,,,50000,c2 -> s2,10,1.14,1.14,1.16,1.15,1.15,1.15,,1.15,,,
c3 -> s3,10,3.33,3.41,3.32,3.34,3.41,3.37,,3.355,,,60000,c3 -> s3,10,8.15,8.15,8.13,8.15,8.15,8.16,,8.15,,,
