flow,bandwidth,throughput
c1 -> s1,1,0.9533277823365275
c1 -> s1,2,0.9534020566342043
c1 -> s1,3,0.953017125650142
c1 -> s1,4,0.9533860825279838
c1 -> s1,5,0.953390456310162
c1 -> s1,6,0.9533906449310594
c1 -> s1,7,0.9533882871752056
c1 -> s1,8,0.9533906449310594
c1 -> s1,9,0.9533866839078863
c1 -> s1,10,0.9533879099353513
c2 -> s2,1,1.0440221840376644
c2 -> s2,2,1.9990521806490518
c2 -> s2,3,2.8579356157292417
c2 -> s2,4,2.8579734272043917
c2 -> s2,5,2.8580066260006936
c2 -> s2,6,2.8579314332506915
c2 -> s2,7,2.857992722137434
c2 -> s2,8,2.856825238069398
c2 -> s2,9,2.857980237151011
c2 -> s2,10,2.8580023697016546
c3 -> s3,1,1.0440434939795866
c3 -> s3,2,2.028662633423305
c3 -> s3,3,3.027741507276149
c3 -> s3,4,4.009565951367017
c3 -> s3,5,5.01147264067484
c3 -> s3,6,5.989600206958286
c3 -> s3,7,6.989827853533826
c3 -> s3,8,7.966043289878154
c3 -> s3,9,8.571768498114915
c3 -> s3,10,8.573117120213404
c1 -> s1,1,0.9528017742573818
c1 -> s1,2,0.9534033770141843
c1 -> s1,3,0.953402890127897
c1 -> s1,4,0.9533946059871463
c1 -> s1,5,0.9533886644153586
c1 -> s1,6,0.9533916823473294
c1 -> s1,7,0.9534060177851165
c1 -> s1,8,0.9534076211174624
c1 -> s1,9,0.95337036861181
c1 -> s1,10,0.9533974353330742
c2 -> s2,1,1.0440234314249284
c2 -> s2,2,1.999051585816556
c2 -> s2,3,2.857715691928363
c2 -> s2,4,2.858014287370911
c2 -> s2,5,2.8579671847818338
c2 -> s2,6,2.857954416275173
c2 -> s2,7,2.8579524300732797
c2 -> s2,8,2.857960159406833
c2 -> s2,9,2.8579490251621715
c2 -> s2,10,2.858116726674438
c3 -> s3,1,1.0440491074748994
c3 -> s3,2,2.0260021937803514
c3 -> s3,3,3.028682376380968
c3 -> s3,4,4.009510163756449
c3 -> s3,5,5.011417752662322
c3 -> s3,6,5.98957937246061
c3 -> s3,7,6.989902266162258
c3 -> s3,8,7.9697793971125295
c3 -> s3,9,8.569905478200015
c3 -> s3,10,8.5704400386727
c1 -> s1,1,0.9533162714656048
c1 -> s1,2,0.9534092244552012
c1 -> s1,3,0.953384382916042
c1 -> s1,4,0.953398095516207
c1 -> s1,5,0.953391022173078
c1 -> s1,6,0.9530340018954107
c1 -> s1,7,0.9533951718549886
c1 -> s1,8,0.9533986613881914
c1 -> s1,9,0.9533975296448943
c1 -> s1,10,0.9534041315186723
c2 -> s2,1,1.0440389200650733
c2 -> s2,2,1.9990763708037955
c2 -> s2,3,2.856815067034821
c2 -> s2,4,2.8580063422470303
c2 -> s2,5,2.8579853446322723
c2 -> s2,6,2.8579861958809243
c2 -> s2,7,2.858022232538966
c2 -> s2,8,2.8579669665509235
c2 -> s2,9,2.8579785346613136
c2 -> s2,10,2.8579808046480273
c3 -> s3,1,1.0441154344524755
c3 -> s3,2,2.0259987689713155
c3 -> s3,3,3.0277276398608923
c3 -> s3,4,4.009542042200967
c3 -> s3,5,5.01148611337078
c3 -> s3,6,5.98958056299943
c3 -> s3,7,6.989912002511231
c3 -> s3,8,7.968339642728922
c3 -> s3,9,8.571696944316857
c3 -> s3,10,8.57008390235678
c1 -> s1,1,0.9533224042720726
c1 -> s1,2,0.9532843688824111
c1 -> s1,3,0.9533895761937841
c1 -> s1,4,0.9533966580273395
c1 -> s1,5,0.9533893245863446
c1 -> s1,6,0.9534060177851165
c1 -> s1,7,0.953404037205546
c1 -> s1,8,0.953396303592688
c1 -> s1,9,0.9533926254549886
c1 -> s1,10,0.9534084699426524
c2 -> s2,1,1.0440407912070757
c2 -> s2,2,1.9989397349853795
c2 -> s2,3,2.857986983454251
c2 -> s2,4,2.856846544476113
c2 -> s2,5,2.8579646310713747
c2 -> s2,6,2.857954416275173
c2 -> s2,7,2.8580208137557164
c2 -> s2,8,2.857978028229231
c2 -> s2,9,2.8579853446322723
c2 -> s2,10,2.857966049798844
c3 -> s3,1,1.0440516023810815
c3 -> s3,2,2.0260066259033507
c3 -> s3,3,3.0276935747931426
c3 -> s3,4,4.009667967012669
c3 -> s3,5,5.011407274178427
c3 -> s3,6,5.98960854079794
c3 -> s3,7,6.989839675995096
c3 -> s3,8,7.969744545428254
c3 -> s3,9,8.571652649707191
c3 -> s3,10,8.57069310088465
c1 -> s1,1,0.9533234421394353
c1 -> s1,2,0.9534085642566558
c1 -> s1,3,0.953378717586667
c1 -> s1,4,0.9533739965302876
c1 -> s1,5,0.9533843261716238
c1 -> s1,6,0.9534116766292322
c1 -> s1,7,0.9533896075170469
c1 -> s1,8,0.9533913994153955
c1 -> s1,9,0.9533913994153955
c1 -> s1,10,0.9533788562684054
c2 -> s2,1,1.044033826434713
c2 -> s2,2,1.9983573558949064
c2 -> s2,3,2.8580125261043263
c2 -> s2,4,2.857980237151011
c2 -> s2,5,2.857952997559253
c2 -> s2,6,2.8579595236641464
c2 -> s2,7,2.8580174086816643
c2 -> s2,8,2.8579794463993093
c2 -> s2,9,2.8579620773654786
c2 -> s2,10,2.857950727616712
c3 -> s3,1,1.0440561764067176
c3 -> s3,2,2.025994135424579
c3 -> s3,3,3.0276821194558625
c3 -> s3,4,4.009567943810393
c3 -> s3,5,5.0113773358944655
c3 -> s3,6,5.98958413461873
c3 -> s3,7,6.989943298102341
c3 -> s3,8,7.969678803308172
c3 -> s3,9,8.57019177318385
c3 -> s3,10,8.571155407628114
c1 -> s1,1,0.9533282540994624
c1 -> s1,2,0.9534039428924383
c1 -> s1,3,0.953384382916042
c1 -> s1,4,0.9533782454789251
c1 -> s1,5,0.9533965865275326
c1 -> s1,6,0.9533844204808505
c1 -> s1,7,0.9533881928652141
c1 -> s1,8,0.9534034713271801
c1 -> s1,9,0.9534177128036644
c1 -> s1,10,0.9533922482117011
c2 -> s2,1,1.043626081495467
c2 -> s2,2,1.9983385111340501
c2 -> s2,3,2.857998335686807
c2 -> s2,4,2.857968887258009
c2 -> s2,5,2.8579864796305876
c2 -> s2,6,2.8568298166944017
c2 -> s2,7,2.858024218837882
c2 -> s2,8,2.8580429469348276
c2 -> s2,9,2.8579913033834834
c2 -> s2,10,2.8580656479874618
c3 -> s3,1,1.0443032333208677
c3 -> s3,2,2.0260138785100863
c3 -> s3,3,3.0280616990131746
c3 -> s3,4,4.009467527129299
c3 -> s3,5,5.011412263927198
c3 -> s3,6,5.989587706242287
c3 -> s3,7,6.989908525240626
c3 -> s3,8,7.96955049048731
c3 -> s3,9,8.5706706783843
c3 -> s3,10,8.567466612391286
c1 -> s1,1,0.953347785494769
c1 -> s1,2,0.9533881928652141
c1 -> s1,3,0.9533872156059784
c1 -> s1,4,0.9533909278625454
c1 -> s1,5,0.953407432489848
c1 -> s1,6,0.9533993215730223
c1 -> s1,7,0.9533876270056564
c1 -> s1,8,0.95339328563146
c1 -> s1,9,0.9534085642566558
c1 -> s1,10,0.953396869462545
c2 -> s2,1,1.044034761995747
c2 -> s2,2,1.9990841038456033
c2 -> s2,3,2.8579384536769084
c2 -> s2,4,2.85797541343547
c2 -> s2,5,2.8579564024798265
c2 -> s2,6,2.8581692261163756
c2 -> s2,7,2.8579629286002697
c2 -> s2,8,2.857960726667602
c2 -> s2,9,2.8580398255682917
c2 -> s2,10,2.8579694547505183
c3 -> s3,1,1.0440469244417714
c3 -> s3,2,2.0286638432952318
c3 -> s3,3,3.02776411746473
c3 -> s3,4,4.0095703347450575
c3 -> s3,5,5.01139879162832
c3 -> s3,6,5.98966568775175
c3 -> s3,7,6.989839675995096
c3 -> s3,8,7.96965108105253
c3 -> s3,9,8.57000857627305
c3 -> s3,10,8.57054654451641
c1 -> s1,1,0.9533238195463094
c1 -> s1,2,0.9533861180501196
c1 -> s1,3,0.953400246196498
c1 -> s1,4,0.9534143158571979
c1 -> s1,5,0.953388098555241
c1 -> s1,6,0.9533943230534769
c1 -> s1,7,0.9534073381760684
c1 -> s1,8,0.9533868725272909
c1 -> s1,9,0.9533923425224949
c1 -> s1,10,0.9533898904479174
c2 -> s2,1,1.0440446374644767
c2 -> s2,2,1.9987179970589344
c2 -> s2,3,2.856871215391645
c2 -> s2,4,2.856897579596924
c2 -> s2,5,2.8579620773654786
c2 -> s2,6,2.857987047130083
c2 -> s2,7,2.857948457677776
c2 -> s2,8,2.8580168865984215
c2 -> s2,9,2.8579748459405945
c2 -> s2,10,2.8579941408927936
c3 -> s3,1,1.0440350738497977
c3 -> s3,2,2.02875720943141
c3 -> s3,3,3.0277176915760244
c3 -> s3,4,4.009558778587263
c3 -> s3,5,5.0115020811042195
c3 -> s3,6,5.989681165239403
c3 -> s3,7,6.989846630402761
c3 -> s3,8,7.9695489064042295
c3 -> s3,9,8.57071073160032
c3 -> s3,10,8.571179669885591
c1 -> s1,1,0.9533191963326934
c1 -> s1,2,0.9533923425224949
c1 -> s1,3,0.9534186595947277
c1 -> s1,4,0.9533892929226303
c1 -> s1,5,0.9533914937260214
c1 -> s1,6,0.9533881928652141
c1 -> s1,7,0.9534150719679456
c1 -> s1,8,0.9534041315186723
c1 -> s1,9,0.9533873440761295
c1 -> s1,10,0.9533847977179433
c2 -> s2,1,1.0443705287548102
c2 -> s2,2,1.9990319565427837
c2 -> s2,3,2.857948386538126
c2 -> s2,4,2.8579615098758993
c2 -> s2,5,2.8579759809305703
c2 -> s2,6,2.8579646310713747
c2 -> s2,7,2.8573252121362156
c2 -> s2,8,2.8580645391796815
c2 -> s2,9,2.8579745621932413
c2 -> s2,10,2.8579717247228076
c3 -> s3,1,1.044029460505391
c3 -> s3,2,2.0246843424545617
c3 -> s3,3,3.0264957557584498
c3 -> s3,4,4.009575515113279
c3 -> s3,5,5.011434218939834
c3 -> s3,6,5.989594849502184
c3 -> s3,7,6.989884879892276
c3 -> s3,8,7.969644744564031
c3 -> s3,9,8.569217937132354
c3 -> s3,10,8.57109956541066
c1 -> s1,1,0.9533174036700908
c1 -> s1,2,0.9533983784521154
c1 -> s1,3,0.9533898594651062
c1 -> s1,4,0.953383910802689
c1 -> s1,5,0.9533862123597008
c1 -> s1,6,0.953300586942459
c1 -> s1,7,0.9533898904479174
c1 -> s1,8,0.953388381485216
c1 -> s1,9,0.9533823456821755
c1 -> s1,10,0.9534069609211375
c2 -> s2,1,1.0440333066793075
c2 -> s2,2,1.998369456402415
c2 -> s2,3,2.8567986199543025
c2 -> s2,4,2.8580193949738755
c2 -> s2,5,2.857985628381767
c2 -> s2,6,2.858024218837882
c2 -> s2,7,2.856846544476113
c2 -> s2,8,2.8580248285849486
c2 -> s2,9,2.857993289639409
c2 -> s2,10,2.8582501074093747
c3 -> s3,1,1.044039855635236
c3 -> s3,2,2.026041882117844
c3 -> s3,3,3.027717993038242
c3 -> s3,4,4.009522915073427
c3 -> s3,5,5.011422742431958
c3 -> s3,6,5.98719686229941
c3 -> s3,7,6.989831330724166
c3 -> s3,8,7.969563955218917
c3 -> s3,9,8.57176338708972
c3 -> s3,10,8.56872144862456
