flow,bandwidth,throughput
c1 -> s1,1,1.0272841077233832
c1 -> s1,2,1.023294420449467
c1 -> s1,3,0.9638685068525246
c1 -> s1,4,0.988489103904544
c1 -> s1,5,0.9642113995547247
c1 -> s1,6,0.967659541506066
c1 -> s1,7,0.9587272297024355
c1 -> s1,8,0.965410900696621
c1 -> s1,9,0.9757759234837362
c1 -> s1,10,0.9800019447958647
c2 -> s2,1,1.0268951701957423
c2 -> s2,2,2.027862567650674
c2 -> s2,3,2.230254600256966
c2 -> s2,4,1.975022819856455
c2 -> s2,5,1.967735880975417
c2 -> s2,6,1.9734628993665773
c2 -> s2,7,1.9780847609224468
c2 -> s2,8,1.9722937917865502
c2 -> s2,9,1.9711423662184373
c2 -> s2,10,1.9680788032213614
c3 -> s3,1,1.0273035418763203
c3 -> s3,2,2.070950771718882
c3 -> s3,3,3.0109847306628157
c3 -> s3,4,4.031644709860962
c3 -> s3,5,4.994723939538133
c3 -> s3,6,5.99785310821061
c3 -> s3,7,6.97892374270357
c3 -> s3,8,7.977728604746139
c3 -> s3,9,8.962061458424087
c3 -> s3,10,9.512770143391315
c1 -> s1,1,1.026629810725238
c1 -> s1,2,1.0288355756356737
c1 -> s1,3,0.9676852660369409
c1 -> s1,4,0.9757763121093747
c1 -> s1,5,0.9677089685007414
c1 -> s1,6,0.9503899696847893
c1 -> s1,7,0.9792361217939624
c1 -> s1,8,0.9700081536433564
c1 -> s1,9,0.9721928864634455
c1 -> s1,10,0.986171836284435
c2 -> s2,1,1.0273057921941604
c2 -> s2,2,2.0704999955212693
c2 -> s2,3,2.18119803811849
c2 -> s2,4,1.9896667250484386
c2 -> s2,5,1.9630833003430723
c2 -> s2,6,1.9780904726353943
c2 -> s2,7,1.9712980789421253
c2 -> s2,8,1.966540361296551
c2 -> s2,9,1.9757828746828985
c2 -> s2,10,1.9665728653903563
c3 -> s3,1,1.0268953746070726
c3 -> s3,2,2.0713340961526745
c3 -> s3,3,3.0109973222092936
c3 -> s3,4,4.0318132894447
c3 -> s3,5,4.994695095170962
c3 -> s3,6,6.002343068121625
c3 -> s3,7,6.977893308713814
c3 -> s3,8,7.976136014764224
c3 -> s3,9,8.958599641533967
c3 -> s3,10,9.51810722227525
c1 -> s1,1,1.027299041270216
c1 -> s1,2,1.0207946849342513
c1 -> s1,3,0.9828073872111943
c1 -> s1,4,0.9607702513323326
c1 -> s1,5,0.9769217358247921
c1 -> s1,6,0.958055874808962
c1 -> s1,7,0.9642392409011983
c1 -> s1,8,0.976922805792687
c1 -> s1,9,0.9734583658669228
