flow,bandwidth,throughput
c1 -> s1,1,1.0272870739412816
c1 -> s1,2,2.071336158529045
c1 -> s1,3,3.010964944159693
c1 -> s1,4,4.032086502497179
c1 -> s1,5,4.99466625113694
c1 -> s1,6,5.999149384538008
c1 -> s1,7,6.97835324906374
c1 -> s1,8,7.975900276567255
c1 -> s1,9,8.95862193274943
c1 -> s1,10,9.521850308360515
c2 -> s2,1,1.0269013025710532
c2 -> s2,2,2.0713530701701983
c2 -> s2,3,3.010961046848825
c2 -> s2,4,4.03226060990993
c2 -> s2,5,4.99467271615008
c2 -> s2,6,5.999292696247677
c2 -> s2,7,6.978255975656395
c2 -> s2,8,7.975868528379875
c2 -> s2,9,8.96211321419009
c2 -> s2,10,9.519508113629621
c3 -> s3,1,1.0272916767271056
c3 -> s3,2,2.0713580199710693
c3 -> s3,3,3.0107634963850542
c3 -> s3,4,4.031129462142078
c3 -> s3,5,4.994706533414634
c3 -> s3,6,6.001441643593136
c3 -> s3,7,6.9783518594245395
c3 -> s3,8,7.975778841116063
c3 -> s3,9,8.962091797938555
c3 -> s3,10,9.51890393727117
c1 -> s1,1,1.0272901424605814
c1 -> s1,2,2.0713384271477957
c1 -> s1,3,3.0109607470560986
c1 -> s1,4,4.031568479328179
c1 -> s1,5,4.994584196655173
c1 -> s1,6,5.999111709672335
c1 -> s1,7,6.97835255424407
c1 -> s1,8,7.975802651697402
c1 -> s1,9,8.96206770477792
c1 -> s1,10,9.519510255591086
c2 -> s2,1,1.0272884036307275
c2 -> s2,2,2.0713316213064505
c2 -> s2,3,3.011014410905104
c2 -> s2,4,4.031609001515645
c2 -> s2,5,4.994654315772034
c2 -> s2,6,6.000055526879936
c2 -> s2,7,6.97843384908424
c2 -> s2,8,7.97264026405595
c2 -> s2,9,8.962142661703083
c2 -> s2,10,9.52294716220497
c3 -> s3,1,1.0272879944951467
c3 -> s3,2,2.0713192471640407
c3 -> s3,3,3.0109298687250834
c3 -> s3,4,4.032756991014219
c3 -> s3,5,4.994716977074176
c3 -> s3,6,6.000548149041605
c3 -> s3,7,6.978403971273266
c3 -> s3,8,7.975804239074546
c3 -> s3,9,8.962019518845269
c3 -> s3,10,9.520398082843279
c1 -> s1,1,1.0273009847089234
c1 -> s1,2,2.0713248155098296
c1 -> s1,3,3.010923273435494
c1 -> s1,4,4.031631469614192
c1 -> s1,5,4.99475676284396
c1 -> s1,6,6.00002447946556
c1 -> s1,7,6.978280988559273
c1 -> s1,8,7.976594999373692
c1 -> s1,9,8.958490861994045
c1 -> s1,10,9.520690516853074
c2 -> s2,1,1.0273007801360818
c2 -> s2,2,2.071335952291223
c2 -> s2,3,3.010973338401985
c2 -> s2,4,4.031970943538038
c2 -> s2,5,4.994699073684559
c2 -> s2,6,6.000060303433743
c2 -> s2,7,6.978326846013601
c2 -> s2,8,7.97587884651305
c2 -> s2,9,8.96206948945204
c2 -> s2,10,9.5237654688972
c3 -> s3,1,1.0272900401763094
c3 -> s3,2,2.0713510077601502
c3 -> s3,3,3.01100571663212
c3 -> s3,4,4.03152916154869
c3 -> s3,5,4.994743832399257
c3 -> s3,6,5.999098032841677
c3 -> s3,7,6.978348385328965
c3 -> s3,8,7.975790746388962
c3 -> s3,9,8.962058781417964
c3 -> s3,10,9.517608924938067
c1 -> s1,1,1.0272920858656194
c1 -> s1,2,2.0713522452056865
c1 -> s1,3,3.010983231676202
c1 -> s1,4,4.031566874505841
c1 -> s1,5,4.99473885916912
c1 -> s1,6,6.002360987013178
c1 -> s1,7,6.978371314423688
c1 -> s1,8,7.978075596204071
c1 -> s1,9,8.96220869622362
c1 -> s1,10,9.521765525954363
c2 -> s2,1,1.0272830848935968
c2 -> s2,2,2.071315534950148
c2 -> s2,3,3.0109844308653733
c2 -> s2,4,4.032229314307656
c2 -> s2,5,4.994650337329739
c2 -> s2,6,5.999973729576237
c2 -> s2,7,6.978415088568392
c2 -> s2,8,7.97584313001195
c2 -> s2,9,8.96180179627638
c2 -> s2,10,9.522728231765624
c3 -> s3,1,1.0272946429887142
c3 -> s3,2,2.071345645513247
c3 -> s3,3,3.0109475562352643
c3 -> s3,4,4.032962613703725
c3 -> s3,5,4.994641883160912
c3 -> s3,6,5.99994148891603
c3 -> s3,7,6.97841300407286
c3 -> s3,8,7.975811382279513
c3 -> s3,9,8.96201773419105
c3 -> s3,10,9.518077853494777
c1 -> s1,1,1.0273017007145113
c1 -> s1,2,2.0713373959568386
c1 -> s1,3,3.0109436589694085
c1 -> s1,4,4.031583725204116
c1 -> s1,5,4.994646856197933
c1 -> s1,6,6.000732082052902
c1 -> s1,7,6.978400497125804
c1 -> s1,8,7.978312982763973
c1 -> s1,9,8.962062350759814
c1 -> s1,10,9.520980898331281
c2 -> s2,1,1.027297097838862
c2 -> s2,2,2.0713283215206855
c2 -> s2,3,3.010988328236778
c2 -> s2,4,4.0323071529861245
c2 -> s2,5,4.99468365697968
c2 -> s2,6,5.999961788550576
c2 -> s2,7,6.978320592688886
c2 -> s2,8,7.975786777960714
c2 -> s2,9,8.96213195349415
c2 -> s2,10,9.520819787726994
c3 -> s3,1,1.0272864602396212
c3 -> s3,2,2.071343376878684
c3 -> s3,3,3.011003917823288
c3 -> s3,4,4.032049181119198
c3 -> s3,5,4.994642877767524
c3 -> s3,6,6.00013792349903
c3 -> s3,7,6.978286547006486
