flow,bandwidth,throughput
c1 -> s1,1,1.0273049738956233
c1 -> s1,2,2.071333271203276
c1 -> s1,3,3.0098147761090046
c1 -> s1,4,4.02971885327824
c1 -> s1,5,4.994626964109267
c1 -> s1,6,5.999995820599014
c1 -> s1,7,6.97841091957857
c1 -> s1,8,7.975854241778013
c1 -> s1,9,8.963792924019325
c1 -> s1,10,9.521349231200743
c2 -> s2,1,1.0272938247079388
c2 -> s2,2,2.0713196596330725
c2 -> s2,3,3.0109670427158783
c2 -> s2,4,4.030947201170144
c2 -> s2,5,4.9946577969142405
c2 -> s2,6,5.9999761177870745
c2 -> s2,7,6.978381736789282
c2 -> s2,8,7.9778786990917085
c2 -> s2,9,8.96202576514064
c2 -> s2,10,9.52175390948067
c3 -> s3,1,1.0272918812963219
c3 -> s3,2,2.071340283294107
c3 -> s3,3,3.0109820324879863
c3 -> s3,4,4.028196176173172
c3 -> s3,5,4.994625472209004
c3 -> s3,6,5.999122514354695
c3 -> s3,7,6.978372009247091
c3 -> s3,8,7.975912182202684
c3 -> s3,9,8.95841418292218
c3 -> s3,10,9.52298493170122
c1 -> s1,1,1.0276195011265146
c1 -> s1,2,2.0705125659509513
c1 -> s1,3,3.010985929853181
c1 -> s1,4,4.0316330744879565
c1 -> s1,5,4.994689624725117
c1 -> s1,6,5.996756493877334
c1 -> s1,7,6.978436628428498
c1 -> s1,8,7.97265533220823
c1 -> s1,9,8.9621988802198
c1 -> s1,10,9.519935496570719
c2 -> s2,1,1.0268861761777712
c2 -> s2,2,2.0713518327236766
c2 -> s2,3,3.0098537200027473
c2 -> s2,4,4.032090515589713
c2 -> s2,5,4.992740422556197
c2 -> s2,6,6.00155812806053
c2 -> s2,7,6.9783039172111
c2 -> s2,8,7.97580820752017
c2 -> s2,9,8.962085551551136
c2 -> s2,10,9.515671726581155
c3 -> s3,1,1.0273090654013448
c3 -> s3,2,2.071326671631745
c3 -> s3,3,3.0102620924331913
c3 -> s3,4,4.032917272534167
c3 -> s3,5,4.994673213459477
c3 -> s3,6,6.000720138008537
c3 -> s3,7,6.97834421641884
c3 -> s3,8,7.97580820752017
c3 -> s3,9,8.962048073409475
c3 -> s3,10,9.522016113175916
c1 -> s1,1,1.027305587619404
c1 -> s1,2,2.0713419332047316
c1 -> s1,3,3.011010813268814
c1 -> s1,4,4.032165160567023
c1 -> s1,5,4.994691613976764
c1 -> s1,6,6.000201812290289
c1 -> s1,7,6.978319203062693
c1 -> s1,8,7.9758756717
c1 -> s1,9,8.962154262291635
c1 -> s1,10,9.523186385630666
c2 -> s2,1,1.0271920611992367
c2 -> s2,2,2.071368950865131
c2 -> s2,3,3.0109811330974505
c2 -> s2,4,4.032961008689167
c2 -> s2,5,4.9969061360588904
c2 -> s2,6,5.999173269347473
c2 -> s2,7,6.97832615119919
c2 -> s2,8,7.9758002706328694
c2 -> s2,9,8.958447172594536
c2 -> s2,10,9.52010658748421
c3 -> s3,1,1.0273027235813683
c3 -> s3,2,2.0713685383764684
c3 -> s3,3,3.0110177087459222
c3 -> s3,4,4.029513432703063
c3 -> s3,5,4.994714987802324
c3 -> s3,6,5.999234176472455
c3 -> s3,7,6.9783129497516745
c3 -> s3,8,7.975753443319336
c3 -> s3,9,8.96213016879515
c3 -> s3,10,9.516195673334753
c1 -> s1,1,1.0273082470975932
c1 -> s1,2,2.070520190712177
c1 -> s1,3,3.010963145399577
c1 -> s1,4,4.033793275249649
c1 -> s1,5,4.994655310383598
c1 -> s1,6,6.0027928646607105
c1 -> s1,7,6.978267787282632
c1 -> s1,8,7.975877259106208
c1 -> s1,9,8.96212570705076
c1 -> s1,10,9.520064345071745
c2 -> s2,1,1.0272988366981484
c2 -> s2,2,2.0713283215206855
c2 -> s2,3,3.0110123122828902
c2 -> s2,4,4.029751339971791
c2 -> s2,5,4.994630942514324
c2 -> s2,6,5.99863471310115
c2 -> s2,7,6.978375483366189
c2 -> s2,8,7.978182775677557
c2 -> s2,9,8.96202576514064
c2 -> s2,10,9.517542501002376
c3 -> s3,1,1.0268850519366024
c3 -> s3,2,2.0713345086276203
c3 -> s3,3,3.011151127454871
c3 -> s3,4,4.032858529447152
c3 -> s3,5,4.994608066771796
c3 -> s3,6,5.999209096918276
c3 -> s3,7,6.978317118624441
c3 -> s3,8,7.975040040680794
c3 -> s3,9,8.96199453375085
