flow,bandwidth,throughput
c1 -> s1,1,0.917411572
c2 -> s2,1,1.039540316
c3 -> s3,1,1.039540728
c1 -> s1,2,0.877394431
c2 -> s2,2,1.983840604
c3 -> s3,2,2.079138345
c1 -> s1,3,0.852323381
c2 -> s2,3,2.071259188
c3 -> s3,3,3.102043593
c1 -> s1,4,0.8213539
c2 -> s2,4,1.870105507
c3 -> s3,4,4.007240572
c1 -> s1,5,0.800376244
c2 -> s2,5,1.600125977
c3 -> s3,5,4.989776696
c1 -> s1,6,0.760729765
c2 -> s2,6,1.370660753
c3 -> s3,6,6.011242336
c1 -> s1,7,0.728691662
c2 -> s2,7,1.111242417
c3 -> s3,7,6.965728303
c1 -> s1,8,0.685842244
c2 -> s2,8,0.842049344
c3 -> s3,8,7.938152148
c1 -> s1,9,0.492093161
c2 -> s2,9,0.484272667
c3 -> s3,9,8.534846054
c1 -> s1,10,0.492189995
c2 -> s2,10,0.48423142
c3 -> s3,10,8.536047138
c1 -> s1,1,0.944061872
c2 -> s2,1,1.039573501
c3 -> s3,1,1.006325467
c1 -> s1,2,0.879113038
c2 -> s2,2,1.985046982
c3 -> s3,2,2.079095884
c1 -> s1,3,0.86785354
c2 -> s2,3,2.062209717
c3 -> s3,3,3.103690173
c1 -> s1,4,0.822068626
c2 -> s2,4,1.871045859
c3 -> s3,4,4.005853144
c1 -> s1,5,0.790955801
c2 -> s2,5,1.614575095
c3 -> s3,5,4.989886516
c1 -> s1,6,0.751605464
c2 -> s2,6,1.357928275
c3 -> s3,6,6.014102218
c1 -> s1,7,0.746252472
c2 -> s2,7,1.118136607
c3 -> s3,7,6.963841875
c1 -> s1,8,0.68811349
c2 -> s2,8,0.841825246
c3 -> s3,8,7.935082265
c1 -> s1,9,0.492181129
c2 -> s2,9,0.484311069
c3 -> s3,9,8.529365783
c1 -> s1,10,0.492183345
c2 -> s2,10,0.484268865
c3 -> s3,10,8.529178661
c1 -> s1,1,0.921460142
c2 -> s2,1,1.039283764
c3 -> s3,1,1.039834115
c1 -> s1,2,0.882451849
c2 -> s2,2,1.984222833
c3 -> s3,2,2.079125153
c1 -> s1,3,0.854137738
c2 -> s2,3,2.069651616
c3 -> s3,3,3.104564804
c1 -> s1,4,0.835468214
c2 -> s2,4,1.871858726
c3 -> s3,4,4.005834167
c1 -> s1,5,0.802962675
c2 -> s2,5,1.600432319
c3 -> s3,5,4.989852877
c1 -> s1,6,0.757145583
c2 -> s2,6,1.37681056
c3 -> s3,6,6.011980581
c1 -> s1,7,0.74397572
c2 -> s2,7,1.145823505
c3 -> s3,7,6.968692207
c1 -> s1,8,0.688427956
c2 -> s2,8,0.832100122
c3 -> s3,8,7.938507844
c1 -> s1,9,0.481992424
c2 -> s2,9,0.484122823
c3 -> s3,9,8.536390661
c1 -> s1,10,0.482194377
c2 -> s2,10,0.484258696
c3 -> s3,10,8.537117275
c1 -> s1,1,0.917620835
c2 -> s2,1,1.039576593
c3 -> s3,1,1.039263987
c1 -> s1,2,0.883220269
c2 -> s2,2,1.982271542
c3 -> s3,2,2.079124741
c1 -> s1,3,0.864056953
c2 -> s2,3,2.070292732
c3 -> s3,3,3.103134572
c1 -> s1,4,0.831602978
c2 -> s2,4,1.870552403
c3 -> s3,4,4.001596408
c1 -> s1,5,0.801937603
c2 -> s2,5,1.602260173
c3 -> s3,5,4.990434702
c1 -> s1,6,0.75117418
c2 -> s2,6,1.363964505
c3 -> s3,6,6.013113215
c1 -> s1,7,0.744402483
c2 -> s2,7,1.108408501
c3 -> s3,7,6.961531355
c1 -> s1,8,0.699373672
c2 -> s2,8,0.833208017
c3 -> s3,8,7.938438896
c1 -> s1,9,0.482011574
c2 -> s2,9,0.482591262
c3 -> s3,9,8.534857868
c1 -> s1,10,0.481862714
c2 -> s2,10,0.482752508
c3 -> s3,10,8.536365973
c1 -> s1,1,0.916731689
c2 -> s2,1,1.039688328
c3 -> s3,1,1.039393169
c1 -> s1,2,0.892424162
c2 -> s2,2,1.983695986
c3 -> s3,2,2.079108663
c1 -> s1,3,0.852371059
c2 -> s2,3,2.091311423
c3 -> s3,3,3.10460474
c1 -> s1,4,0.838726375
c2 -> s2,4,1.855311682
c3 -> s3,4,4.005820725
