flow,bandwidth,throughput,priority
c1 -> s1,1,1.0062143255262825,40000
c2 -> s2,1,1.0061931775710014,50000
c3 -> s3,1,1.006206744081604,60000
c1 -> s1,2,1.1611463034554987,40000
c2 -> s2,2,2.045811601375617,50000
c3 -> s3,2,2.033916855485714,60000
c1 -> s1,3,0.997644200415012,40000
c2 -> s2,3,2.5426404597268766,50000
c3 -> s3,3,3.0810645127820897,60000
c1 -> s1,4,0.9618844762652923,40000
c2 -> s2,4,2.0018648733758906,50000
c3 -> s3,4,4.034260393257314,60000
c1 -> s1,5,0.99655353465437,40000
c2 -> s2,5,1.936304075487471,50000
c3 -> s3,5,4.950447339584547,60000
c1 -> s1,6,1.0019416522609659,40000
c2 -> s2,6,2.072285416922121,50000
c3 -> s3,6,5.915572000624263,60000
c1 -> s1,7,0.9915956995281275,40000
c2 -> s2,7,1.9533327481383564,50000
c3 -> s3,7,6.537054341718046,60000
c1 -> s1,8,0.955182137080349,40000
c2 -> s2,8,2.032909565173348,50000
c3 -> s3,8,6.498193212468824,60000
c1 -> s1,9,0.9838204821249656,40000
c2 -> s2,9,1.9744793936059708,50000
c3 -> s3,9,6.52423986269126,60000
c1 -> s1,10,0.9823008675039984,40000
c2 -> s2,10,1.98969269366034,50000
c3 -> s3,10,6.51818882637889,60000
c1 -> s1,1,1.0061824044261265,40000
c2 -> s2,1,1.005396189086333,50000
c3 -> s3,1,1.0061670431185443,60000
c1 -> s1,2,0.9876603918068,40000
c2 -> s2,2,2.0457746876831,50000
c3 -> s3,2,2.032370769746861,60000
c1 -> s1,3,1.0114010055122218,40000
c2 -> s2,3,2.5311499739351886,50000
c3 -> s3,3,3.080666188741598,60000
c1 -> s1,4,0.9841197355817454,40000
c2 -> s2,4,2.025518108859099,50000
c3 -> s3,4,3.9659798298124413,60000
c1 -> s1,5,0.9685350071127702,40000
c2 -> s2,5,1.9966984799218286,50000
c3 -> s3,5,4.95253280670375,60000
c1 -> s1,6,0.9770618987390894,40000
c2 -> s2,6,1.9910653748423768,50000
c3 -> s3,6,5.930191910912414,60000
c1 -> s1,7,0.9842165128716658,40000
c2 -> s2,7,2.0001786077427446,50000
c3 -> s3,7,6.486858881761915,60000
c1 -> s1,8,1.0097387510023674,40000
c2 -> s2,8,1.9655587711460674,50000
c3 -> s3,8,6.50137234176145,60000
c1 -> s1,9,0.9619927618096269,40000
c2 -> s2,9,2.005596581038105,50000
c3 -> s3,9,6.5411900910656025,60000
c1 -> s1,10,1.0163599161753094,40000
c2 -> s2,10,1.9982539946605826,50000
c3 -> s3,10,6.469739640892184,60000
c1 -> s1,1,0.9817055259230189,40000
c2 -> s2,1,1.0058768623988834,50000
c3 -> s3,1,1.0005451581185283,60000
c1 -> s1,2,0.9807854900548689,40000
c2 -> s2,2,2.03967187544789,50000
c3 -> s3,2,2.0389656766327477,60000
c1 -> s1,3,1.0043405633924096,40000
c2 -> s2,3,2.5085108219827985,50000
c3 -> s3,3,3.0723669674774836,60000
c1 -> s1,4,0.95951560048692,40000
c2 -> s2,4,2.033825542509419,50000
c3 -> s3,4,4.017574833021945,60000
c1 -> s1,5,1.0053166669275497,40000
c2 -> s2,5,2.003262561306736,50000
c3 -> s3,5,4.9313553437283,60000
c1 -> s1,6,0.9669736667307766,40000
c2 -> s2,6,1.9569034127747964,50000
c3 -> s3,6,5.940636138455402,60000
c1 -> s1,7,0.9995011027785666,40000
c2 -> s2,7,2.0401129983749953,50000
c3 -> s3,7,6.441241625911367,60000
c1 -> s1,8,0.9774572836431853,40000
c2 -> s2,8,1.98702891783192,50000
c3 -> s3,8,6.516329538457767,60000
c1 -> s1,9,1.0047594866441045,40000
c2 -> s2,9,1.915939554442796,50000
c3 -> s3,9,6.5509875510255835,60000
c1 -> s1,10,0.95985776377652,40000
c2 -> s2,10,2.049601641566074,50000
c3 -> s3,10,6.477093270579984,60000
c1 -> s1,1,1.0004457437813983,40000
c2 -> s2,1,1.002877001183764,50000
c3 -> s3,1,1.0027117363411397,60000
c1 -> s1,2,0.9922573089999736,40000
c2 -> s2,2,2.045777121511916,50000
c3 -> s3,2,2.0338775632503663,60000
c1 -> s1,3,1.008966150968809,40000
c2 -> s2,3,2.5329890848309415,50000
c3 -> s3,3,3.078183409741695,60000
c1 -> s1,4,0.9573740665560639,40000
c2 -> s2,4,1.9779853383494392,50000
c3 -> s3,4,4.04164887189747,60000
c1 -> s1,5,1.013309817118117,40000
c2 -> s2,5,2.0423929563833267,50000
c3 -> s3,5,4.956698541918408,60000
c1 -> s1,6,0.9813558399452114,40000
c2 -> s2,6,1.9145974237383683,50000
c3 -> s3,6,5.974173136578345,60000
c1 -> s1,7,0.9769880051902408,40000
c2 -> s2,7,1.9769236998025932,50000
c3 -> s3,7,6.520248453304332,60000
c1 -> s1,8,0.961379402413978,40000
c2 -> s2,8,2.0637600831395058,50000
c3 -> s3,8,6.46439676902434,60000
c1 -> s1,9,1.0150610119135923,40000
c2 -> s2,9,1.9835914864504258,50000
c3 -> s3,9,6.480550460241172,60000
c1 -> s1,10,0.960997377385963,40000
c2 -> s2,10,1.9933840968420893,50000
c3 -> s3,10,6.532786819163652,60000
c1 -> s1,1,1.0062701923254243,40000
c2 -> s2,1,1.0067257381538788,50000
c3 -> s3,1,1.0062618119100737,60000
c1 -> s1,2,0.9968700682755395,40000
c2 -> s2,2,2.03240920307431,50000
c3 -> s3,2,2.046046906766317,60000
c1 -> s1,3,1.0124480540127534,40000
c2 -> s2,3,2.5209210729242053,50000
c3 -> s3,3,3.0685264323808976,60000
c1 -> s1,4,0.9522300601913612,40000
c2 -> s2,4,1.9945521885136281,50000
c3 -> s3,4,4.045431986098684,60000
c1 -> s1,5,1.015134502979504,40000
c2 -> s2,5,2.00970076546988,50000
c3 -> s3,5,4.96870211235274,60000
c1 -> s1,6,0.9656750572082381,40000
c2 -> s2,6,2.003072849699259,50000
c3 -> s3,6,5.9409691513290275,60000
c1 -> s1,7,0.9820595124318491,40000
c2 -> s2,7,1.982506692654867,50000
c3 -> s3,7,6.5119773395794756,60000
c1 -> s1,8,0.985726501063377,40000
c2 -> s2,8,1.9783070702419896,50000
c3 -> s3,8,6.504060350222914,60000
c1 -> s1,9,1.0023701853259193,40000
c2 -> s2,9,1.998311692007095,50000
c3 -> s3,9,6.49716320777956,60000
c1 -> s1,10,0.9647640614277285,40000
c2 -> s2,10,1.9633995155951716,50000
c3 -> s3,10,6.5604297676959105,60000
c1 -> s1,1,0.9994316183279652,40000
c2 -> s2,1,1.006222505634201,50000
c3 -> s3,1,1.006213527474094,60000
c1 -> s1,2,0.9877641947774093,40000
c2 -> s2,2,2.0457734707708637,50000
c3 -> s3,2,2.037232486037127,60000
c1 -> s1,3,0.9928088796115278,40000
c2 -> s2,3,2.5512607976253,50000
c3 -> s3,3,3.080107000944988,60000
c1 -> s1,4,0.9735223857807035,40000
c2 -> s2,4,1.988450360614041,50000
c3 -> s3,4,4.04548691793355,60000
c1 -> s1,5,1.0083297543743603,40000
c2 -> s2,5,1.9988610673544123,50000
c3 -> s3,5,4.95651475624823,60000
c1 -> s1,6,0.9550750353657564,40000
c2 -> s2,6,1.996961681765554,50000
c3 -> s3,6,5.953854368926272,60000
c1 -> s1,7,0.996882960261898,40000
c2 -> s2,7,1.9970765309566079,50000
c3 -> s3,7,6.4800389915370635,60000
c1 -> s1,8,1.0045276032437607,40000
c2 -> s2,8,1.9582677706210032,50000
c3 -> s3,8,6.547463802904874,60000
c1 -> s1,9,0.9720440884132,40000
c2 -> s2,9,2.011551926545413,50000
c3 -> s3,9,6.491186836220827,60000
c1 -> s1,10,1.0016373386825665,40000
c2 -> s2,10,1.932857543898495,50000
