flow,bandwidth,throughput,priority
c1 -> s1,1,1.0003806608516828,40000
c2 -> s2,1,1.006225498389841,50000
c3 -> s3,1,1.006225498389841,60000
c1 -> s1,2,2.044133983357382,40000
c2 -> s2,2,2.045754811631192,50000
c3 -> s3,2,2.045750349713438,60000
c1 -> s1,3,2.971986183284986,40000
c2 -> s2,3,2.993119983960141,50000
c3 -> s3,3,2.995459056468457,60000
c1 -> s1,4,3.1066705220100683,40000
c2 -> s2,4,3.1944049634455483,50000
c3 -> s3,4,3.195981211372064,60000
c1 -> s1,5,3.106565458095621,40000
c2 -> s2,5,3.197569801995924,50000
c3 -> s3,5,3.1918076889698863,60000
c1 -> s1,6,3.1917326210665173,40000
c2 -> s2,6,3.195634234226039,50000
c3 -> s3,6,3.1017602118052396,60000
c1 -> s1,7,3.101971233553194,40000
c2 -> s2,7,3.186782442910386,50000
c3 -> s3,7,3.19601787273901,60000
c1 -> s1,8,3.185852641540122,40000
c2 -> s2,8,3.1076705208110145,50000
c3 -> s3,8,3.190565474535764,60000
c1 -> s1,9,3.19224705815557,40000
c2 -> s2,9,3.19522667972201,50000
c3 -> s3,9,3.101368916068644,60000
c1 -> s1,10,3.106338151140055,40000
c2 -> s2,10,3.1917194204492394,50000
c3 -> s3,10,3.195651296914316,60000
c1 -> s1,1,1.0061999607805736,40000
c2 -> s2,1,1.0061991627511713,50000
c3 -> s3,1,1.0062005593034564,60000
c1 -> s1,2,2.037219613887477,40000
c2 -> s2,2,2.045997812725259,50000
c3 -> s3,2,2.0378292082253693,60000
c1 -> s1,3,2.98399926759787,40000
c2 -> s2,3,2.9729956006287077,50000
c3 -> s3,3,2.9838801995094255,60000
c1 -> s1,4,3.202621315966668,40000
c2 -> s2,4,3.1554788100365228,50000
c3 -> s3,4,3.1233348092858497,60000
c1 -> s1,5,3.194083554611016,40000
c2 -> s2,5,3.189320608076062,50000
c3 -> s3,5,3.104855942935767,60000
c1 -> s1,6,3.1059198704158337,40000
c2 -> s2,6,3.195250687803194,50000
c3 -> s3,6,3.19497660639807,60000
c1 -> s1,7,3.193598777896913,40000
c2 -> s2,7,3.18899741220371,50000
c3 -> s3,7,3.111039125028948,60000
c1 -> s1,8,3.106984527288641,40000
c2 -> s2,8,3.191097104480573,50000
c3 -> s3,8,3.1910864072206033,60000
c1 -> s1,9,3.1885801926682658,40000
c2 -> s2,9,3.1115437130232673,50000
c3 -> s3,9,3.188549408202588,60000
c1 -> s1,10,3.101936265755669,40000
c2 -> s2,10,3.194181770086863,50000
c3 -> s3,10,3.1957644208264337,60000
c1 -> s1,1,1.0062867540329299,40000
c2 -> s2,1,1.0003731670607623,50000
c3 -> s3,1,1.006273983511559,60000
c1 -> s1,2,2.045737775322666,40000
c2 -> s2,2,2.045761301728124,50000
c3 -> s3,2,2.0457596792000303,60000
c1 -> s1,3,2.9821503932893796,40000
c2 -> s2,3,2.982217627007627,50000
c3 -> s3,3,2.9800080295392113,60000
c1 -> s1,4,3.106386681453801,40000
c2 -> s2,4,3.185867087566947,50000
c3 -> s3,4,3.18591105454167,60000
c1 -> s1,5,3.1064782174385877,40000
c2 -> s2,5,3.19583267823399,50000
c3 -> s3,5,3.1894586978692483,60000
c1 -> s1,6,3.0950268477508587,40000
c2 -> s2,6,3.1813612637184154,50000
c3 -> s3,6,3.2096346884223466,60000
c1 -> s1,7,3.0977911953606614,40000
c2 -> s2,7,3.1874077826635068,50000
c3 -> s3,7,3.196215732219857,60000
c1 -> s1,8,3.191110948099937,40000
c2 -> s2,8,3.1863564455884354,50000
c3 -> s3,8,3.111649574199873,60000
c1 -> s1,9,3.1974693210739784,40000
c2 -> s2,9,3.1067454842343767,50000
c3 -> s3,9,3.190700660938298,60000
c1 -> s1,10,3.19636556544154,40000
c2 -> s2,10,3.102355317736178,50000
c3 -> s3,10,3.1871202976243573,60000
c1 -> s1,1,1.0061598613694134,40000
c2 -> s2,1,1.006206744081604,50000
c3 -> s3,1,1.0062045494742033,60000
c1 -> s1,2,2.045781177906145,40000
c2 -> s2,2,2.045755217261044,50000
c3 -> s3,2,2.046500225029242,60000
c1 -> s1,3,2.9953654757105177,40000
c2 -> s2,3,2.9931347797751244,50000
c3 -> s3,3,2.9681145179976594,60000
c1 -> s1,4,3.1948362831456,40000
c2 -> s2,4,3.187139839920502,50000
c3 -> s3,4,3.102168785743035,60000
c1 -> s1,5,3.0978101901026367,40000
c2 -> s2,5,3.1871354271230055,50000
c3 -> s3,5,3.1875912706215717,60000
c1 -> s1,6,3.1950396817550923,40000
c2 -> s2,6,3.1876719867914143,50000
c3 -> s3,6,3.105747308701662,60000
c1 -> s1,7,3.1865328798360824,40000
c2 -> s2,7,3.1013958988119192,50000
c3 -> s3,7,3.195385266095243,60000
c1 -> s1,8,3.184315830481481,40000
c2 -> s2,8,3.184308928222364,50000
c3 -> s3,8,3.1058117868136246,60000
c1 -> s1,9,3.1102407336267266,40000
c2 -> s2,9,3.1943075705566573,50000
c3 -> s3,9,3.1897171210950828,60000
c1 -> s1,10,3.1106749388239363,40000
c2 -> s2,10,3.1876468708844143,50000
c3 -> s3,10,3.1922274086509943,60000
c1 -> s1,1,1.0023063351037553,40000
c2 -> s2,1,1.006199561765714,50000
c3 -> s3,1,1.0022960409538655,60000
c1 -> s1,2,2.0339798064148944,40000
c2 -> s2,2,2.0458805645899125,50000
c3 -> s3,2,2.079234817728669,60000
c1 -> s1,3,2.9866039761517116,40000
c2 -> s2,3,2.980010386988497,50000
c3 -> s3,3,2.9820772653185688,60000
c1 -> s1,4,3.1844576471555,40000
c2 -> s2,4,3.1824445321034465,50000
c3 -> s3,4,3.108375523082413,60000
