flow,bandwidth,throughput,priority
c1 -> s1,1,1.0062163206622916,40000
c2 -> s2,1,0.9997442861347531,50000
c3 -> s3,1,1.0062181162914647,60000
c1 -> s1,2,2.0457698200428402,40000
c2 -> s2,2,2.03785859063083,50000
c3 -> s3,2,2.0378324281736697,60000
c1 -> s1,3,2.9931637799968245,40000
c2 -> s2,3,2.959565029252799,50000
c3 -> s3,3,2.9953974583498355,60000
c1 -> s1,4,3.096811137754554,40000
c2 -> s2,4,3.1952228890053287,50000
c3 -> s3,4,3.186037650714673,60000
c1 -> s1,5,3.1525415013055498,40000
c2 -> s2,5,3.1916358691621127,50000
c3 -> s3,5,3.145264497206285,60000
c1 -> s1,6,3.1957119657261015,40000
c2 -> s2,6,3.097323753026807,50000
c3 -> s3,6,3.186912281583094,60000
c1 -> s1,7,3.110538390978511,40000
c2 -> s2,7,3.194719393875236,50000
c3 -> s3,7,3.188506687888112,60000
c1 -> s1,8,3.102046693065657,40000
c2 -> s2,8,3.1896350935879267,50000
c3 -> s3,8,3.1959673055563464,60000
c1 -> s1,9,3.106591262609232,40000
c2 -> s2,9,3.188173759958581,50000
c3 -> s3,9,3.190651026684369,60000
c1 -> s1,10,3.1570542229386045,40000
c2 -> s2,10,3.1990460692264024,50000
c3 -> s3,10,3.196765395356261,60000
c1 -> s1,1,1.006210335278,40000
c2 -> s2,1,1.0062143255262825,50000
c3 -> s3,1,1.0061903845112896,60000
c1 -> s1,2,2.0372425425172236,40000
c2 -> s2,2,2.037112620439109,50000
c3 -> s3,2,2.0457763102350004,60000
c1 -> s1,3,2.976502232858428,40000
c2 -> s2,3,3.0036681135830334,50000
c3 -> s3,3,2.981517177432692,60000
c1 -> s1,4,3.097937644719139,40000
c2 -> s2,4,3.1869942240547755,50000
c3 -> s3,4,3.1962195252926646,60000
c1 -> s1,5,3.1956475051900632,40000
c2 -> s2,5,3.191688619433555,50000
c3 -> s3,5,3.106212839368384,60000
c1 -> s1,6,3.1103102229108064,40000
c2 -> s2,6,3.1913087251436854,50000
c3 -> s3,6,3.19426917107512,60000
c1 -> s1,7,3.101405097581714,40000
c2 -> s2,7,3.1844883966847557,50000
c3 -> s3,7,3.18452479485421,60000
c1 -> s1,8,3.1858972667922165,40000
c2 -> s2,8,3.19528227793337,50000
c3 -> s3,8,3.1035719747397574,60000
c1 -> s1,9,3.1067811232818947,40000
c2 -> s2,9,3.196093726513388,50000
c3 -> s3,9,3.1922324390455774,60000
c1 -> s1,10,3.2008399044822267,40000
c2 -> s2,10,3.1068327399038203,50000
c3 -> s3,10,3.1938787800068487,60000
c1 -> s1,1,1.0028831451716655,40000
c2 -> s2,1,1.00653484580029,50000
c3 -> s3,1,1.0039183909571758,60000
c1 -> s1,2,2.0457641411584806,40000
c2 -> s2,2,2.044172457872593,50000
c3 -> s3,2,2.04416921785757,60000
c1 -> s1,3,2.969307385536501,40000
c2 -> s2,3,3.0189017168078833,50000
c3 -> s3,3,2.964737193330192,60000
c1 -> s1,4,3.195158448197863,40000
c2 -> s2,4,3.185968986055826,50000
c3 -> s3,4,3.0967401076869567,60000
c1 -> s1,5,3.1024927767174426,40000
c2 -> s2,5,3.1966248037676603,50000
c3 -> s3,5,3.190099088639629,60000
c1 -> s1,6,3.190725287801916,40000
c2 -> s2,6,3.194871654956519,50000
c3 -> s3,6,3.099663211032418,60000
c1 -> s1,7,3.1547670775606473,40000
c2 -> s2,7,3.11588034442275,50000
c3 -> s3,7,3.2098892502860465,60000
c1 -> s1,8,3.190102856404963,40000
c2 -> s2,8,3.1948918677715628,50000
c3 -> s3,8,3.1071510803093085,60000
c1 -> s1,9,3.1118705518416547,40000
c2 -> s2,9,3.1885361961272722,50000
c3 -> s3,9,3.189340569116298,60000
c1 -> s1,10,3.1574977544289817,40000
c2 -> s2,10,3.115996821945271,50000
c3 -> s3,10,3.209882901618966,60000
c1 -> s1,1,1.0063843394986014,40000
c2 -> s2,1,1.0005240505280923,50000
c3 -> s3,1,1.0062482439145006,60000
c1 -> s1,2,2.0457580566745106,40000
c2 -> s2,2,2.045736152831891,50000
c3 -> s3,2,2.0323339391720108,60000
c1 -> s1,3,2.9677278162685816,40000
c2 -> s2,3,3.019040834336395,50000
c3 -> s3,3,2.9609914543180142,60000
c1 -> s1,4,3.186885548509164,40000
c2 -> s2,4,3.1837392812645056,50000
c3 -> s3,4,3.11495622835441,60000
c1 -> s1,5,3.1953991668464443,40000
c2 -> s2,5,3.1015381792230814,50000
c3 -> s3,5,3.1844840038585045,60000
c1 -> s1,6,3.169370839015178,40000
c2 -> s2,6,3.146018538463623,50000
c3 -> s3,6,3.1688636796994727,60000
c1 -> s1,7,3.195631706435864,40000
c2 -> s2,7,3.191745821792989,50000
c3 -> s3,7,3.101764505566263,60000
c1 -> s1,8,3.1871890119193145,40000
c2 -> s2,8,3.196325734986515,50000
c3 -> s3,8,3.09789720125296,60000
c1 -> s1,9,3.148579630421431,40000
c2 -> s2,9,3.1667347307094524,50000
c3 -> s3,9,3.1764361420406164,60000
c1 -> s1,10,3.1955931581312056,40000
c2 -> s2,10,3.101706847481652,50000
c3 -> s3,10,3.19780951250989,60000
c1 -> s1,1,1.006285157700032,40000
c2 -> s2,1,1.0039632774145812,50000
c3 -> s3,1,1.0030076266866634,60000
c1 -> s1,2,2.0458176861780966,40000
c2 -> s2,2,2.0388081385009014,50000
c3 -> s3,2,2.0372715057346324,60000
c1 -> s1,3,2.9907437322369383,40000
c2 -> s2,3,2.9664042550131384,50000
c3 -> s3,3,2.9977193679718903,60000
c1 -> s1,4,3.19006169061256,40000
c2 -> s2,4,3.1040859252912227,50000
c3 -> s3,4,3.188559460207653,60000
c1 -> s1,5,3.1071197350189053,40000
c2 -> s2,5,3.196497076215415,50000
c3 -> s3,5,3.192575172010012,60000
c1 -> s1,6,3.186245552590121,40000
c2 -> s2,6,3.1865354004798,50000
c3 -> s3,6,3.0969005422988127,60000
c1 -> s1,7,3.0986962734611403,40000
c2 -> s2,7,3.1949259774769074,50000
c3 -> s3,7,3.1833675805243624,60000
c1 -> s1,8,3.186872978706494,40000
c2 -> s2,8,3.1078848560700876,50000
c3 -> s3,8,3.189744155792959,60000
c1 -> s1,9,3.1847406907555555,40000
c2 -> s2,9,3.1860831655151713,50000
c3 -> s3,9,3.1113886270969044,60000
c1 -> s1,10,3.1857875099341477,40000
c2 -> s2,10,3.10129594236495,50000
c3 -> s3,10,3.195172346975698,60000
c1 -> s1,1,1.006215323093298,40000
c2 -> s2,1,1.0062241017683269,50000
c3 -> s3,1,1.0061909830227795,60000
c1 -> s1,2,2.045611228770294,40000
c2 -> s2,2,2.045648542151681,50000
c3 -> s3,2,2.045742642810434,60000
c1 -> s1,3,3.0115482282183947,40000
c2 -> s2,3,2.9776973166639813,50000
c3 -> s3,3,2.969837675011813,60000
c1 -> s1,4,3.1894027977846813,40000
c2 -> s2,4,3.18479215863417,50000
c3 -> s3,4,3.111453244354076,60000
c1 -> s1,5,3.205125565548841,40000
c2 -> s2,5,3.124208669758466,50000
c3 -> s3,5,3.15487509182612,60000
c1 -> s1,6,3.197181359747006,40000
c2 -> s2,6,3.1060789389436616,50000
c3 -> s3,6,3.19285633086675,60000
c1 -> s1,7,3.106438284969794,40000
c2 -> s2,7,3.1880161145750225,50000
c3 -> s3,7,3.1880104622412344,60000
c1 -> s1,8,3.097892911856364,40000
c2 -> s2,8,3.1964104549219075,50000
c3 -> s3,8,3.18870377850199,60000
c1 -> s1,9,3.1900745983818943,40000
c2 -> s2,9,3.1024485921450653,50000
c3 -> s3,9,3.1963769457538773,60000
c1 -> s1,10,3.097646597864657,40000
c2 -> s2,10,3.194800912117906,50000
c3 -> s3,10,3.187831482037426,60000
c1 -> s1,1,1.0061253505050662,40000
c2 -> s2,1,1.0062380681579337,50000
c3 -> s3,1,1.000819243101417,60000
c1 -> s1,2,2.0458010544703953,40000
c2 -> s2,2,2.045808356162428,50000
c3 -> s3,2,2.03262461674911,60000
c1 -> s1,3,2.965609041921428,40000
c2 -> s2,3,3.014443819690278,50000
c3 -> s3,3,2.9662523077311036,60000
c1 -> s1,4,3.2002961631681868,40000
c2 -> s2,4,3.1064044967595934,50000
c3 -> s3,4,3.194094387381059,60000
c1 -> s1,5,3.1012536314541417,40000
c2 -> s2,5,3.195205199113076,50000
c3 -> s3,5,3.185953237698119,60000
c1 -> s1,6,3.0952192543679526,40000
c2 -> s2,6,3.193636000895659,50000
c3 -> s3,6,3.1845453339886878,60000
c1 -> s1,7,3.195207094449305,40000
c2 -> s2,7,3.186069779232006,50000
c3 -> s3,7,3.1012370753250473,60000
c1 -> s1,8,3.190752311261669,40000
c2 -> s2,8,3.111236017944656,50000
c3 -> s3,8,3.190814595033064,60000
c1 -> s1,9,3.1887485753649667,40000
c2 -> s2,9,3.195842158660093,50000
c3 -> s3,9,3.097922937881984,60000
c1 -> s1,10,3.184795296973261,40000
c2 -> s2,10,3.1108896261175096,50000
c3 -> s3,10,3.1844212505209764,60000
c1 -> s1,1,1.0003743502834437,40000
c2 -> s2,1,1.006209337720874,50000
c3 -> s3,1,1.0062061455513636,60000
c1 -> s1,2,2.0457450765630045,40000
c2 -> s2,2,2.038807735621288,50000
c3 -> s3,2,2.0388262682482887,60000
c1 -> s1,3,2.981682789984923,40000
c2 -> s2,3,2.981584334840917,50000
c3 -> s3,3,2.979284468907722,60000
c1 -> s1,4,3.1948343882492614,40000
c2 -> s2,4,3.189138598889962,50000
c3 -> s3,4,3.105449515971574,60000
c1 -> s1,5,3.1915522220810844,40000
c2 -> s2,5,3.1111043430469776,50000
c3 -> s3,5,3.189114931989017,60000
c1 -> s1,6,3.102033809474366,40000
c2 -> s2,6,3.189617515915105,50000
c3 -> s3,6,3.195926852962303,60000
c1 -> s1,7,3.195955928160766,40000
c2 -> s2,7,3.1895967996208543,50000
c3 -> s3,7,3.1066551613451256,60000
c1 -> s1,8,3.1022534586703063,40000
c2 -> s2,8,3.196239122978922,50000
c3 -> s3,8,3.1898655045694593,60000
c1 -> s1,9,3.1714706435916673,40000
c2 -> s2,9,3.0857508898365436,50000
c3 -> s3,9,3.1794684122608707,60000
c1 -> s1,10,3.1940254728575592,40000
c2 -> s2,10,3.1000914527547803,50000
c3 -> s3,10,3.1909571129171614,60000
c1 -> s1,1,1.0023217767250723,40000
c2 -> s2,1,1.0020302479698509,50000
c3 -> s3,1,1.006221707569037,60000
c1 -> s1,2,2.0458176861780966,40000
c2 -> s2,2,2.0457974036439244,50000
c3 -> s3,2,2.031993319625962,60000
c1 -> s1,3,2.97321062047965,40000
c2 -> s2,3,3.014487341919861,50000
c3 -> s3,3,2.9729521601031825,60000
c1 -> s1,4,3.1018025365399877,40000
c2 -> s2,4,3.195691742532889,50000
c3 -> s3,4,3.1910048642790536,60000
c1 -> s1,5,3.1059241693510167,40000
c2 -> s2,5,3.1882296618667763,50000
c3 -> s3,5,3.195231102236172,60000
c1 -> s1,6,3.1019828896608983,40000
c2 -> s2,6,3.1959066270492973,50000
c3 -> s3,6,3.1941302199986614,60000
