flow,bandwidth,media,maior_valor,menor_valor
c1 -> s1,1,1.0272570893391446,1.0273059967689984,1.0268937393187083
c1 -> s1,2,2.0713374166982517,2.071366682179518,2.071306460705537
c1 -> s1,3,3.0109731288029495,3.01101531031552,3.010923273435494
c1 -> s1,4,4.031679560635699,4.032895605432616,4.029744521733418
c1 -> s1,5,4.994648945609513,4.99475676284396,4.994567288793943
c1 -> s1,6,6.000204668881242,6.002360987013178,5.999111709672335
c1 -> s1,7,6.978338102350044,6.978419257563197,6.978280293753993
c1 -> s1,8,7.976593061383873,7.978312982763973,7.975753443319336
c1 -> s1,9,8.961357769585051,8.96220869622362,8.958490861994045
c1 -> s1,10,9.521329848275174,9.527476958737504,9.516794468568497
c2 -> s2,1,1.027255626091668,1.0273094745537097,1.0269013025710532
c2 -> s2,2,2.07133853035837,2.071364619742364,2.071315534950148
c2 -> s2,3,3.0109895875487496,3.011034497865727,3.010961046848825
c2 -> s2,4,4.032178898952987,4.033437352825487,4.031529562746647
c2 -> s2,5,4.994679629947744,4.994894028615306,4.994607072179049
c2 -> s2,6,6.000376580065029,6.003312754882304,5.999149384538008
c2 -> s2,7,6.978403208935077,6.978692337571778,6.978255975656395
c2 -> s2,8,7.9759817192247535,7.978141491391227,7.97264026405595
c2 -> s2,9,8.961681828614939,8.962142661703083,8.958430231921625
c2 -> s2,10,9.52099742966196,9.524016648020796,9.51753397454242
c3 -> s3,1,1.027291380145063,1.0273054853320562,1.027282880327884
c3 -> s3,2,2.071341355814969,2.071361319851459,2.0713192471640407
c3 -> s3,3,3.010854036158569,3.011119645570134,3.009824062638315
c3 -> s3,4,4.031338563210983,4.032962613703725,4.028190164721862
c3 -> s3,5,4.994593406176767,4.994743832399257,4.9939517216896
c3 -> s3,6,6.000030289213097,6.001441643593136,5.999098032841677
c3 -> s3,7,6.978341090142555,6.978416478232774,6.978260839262356
c3 -> s3,8,7.9757692382670555,7.975889164672921,7.975576456914498
c3 -> s3,9,8.961918612899755,8.962110537153054,8.960822175613085
c3 -> s3,10,9.519128851670562,9.52289882604727,9.516289541606358
