flow,bandwidth,media,maior_valor,menor_valor
c1 -> s1,1,0.9207576749999999,0.944061872,0.912603203
c1 -> s1,2,0.8827346166,0.893106457,0.877394431
c1 -> s1,3,0.8558830052999999,0.86785354,0.84365819
c1 -> s1,4,0.8287893464,0.838726375,0.820441507
c1 -> s1,5,0.8021461042,0.813326317,0.790905212
c1 -> s1,6,0.7635140378,0.775655744,0.75117418
c1 -> s1,7,0.7391386188,0.75550815,0.720063501
c1 -> s1,8,0.6868933683,0.699373672,0.674342747
c1 -> s1,9,0.4841490362,0.492181129,0.481992424
c1 -> s1,10,0.48537939,0.492323312,0.481862714
c2 -> s2,1,1.0361295938000001,1.039688328,1.006235873
c2 -> s2,2,1.9856871767000002,2.002799318,1.981432801
c2 -> s2,3,2.0758186707,2.091311423,2.062209717
c2 -> s2,4,1.8676719928,1.878395302,1.855311682
c2 -> s2,5,1.602766239,1.615871225,1.587035705
c2 -> s2,6,1.3612922159,1.37681056,1.345262688
c2 -> s2,7,1.1179309590000002,1.145823505,1.100378175
c2 -> s2,8,0.8391141169,0.845342927,0.832100122
c2 -> s2,9,0.48395262939999995,0.484603374,0.482213644
c2 -> s2,10,0.48398963300000003,0.485294873,0.482752508
c3 -> s3,1,1.0361410729,1.039834115,1.006325467
c3 -> s3,2,2.0788462384999997,2.079138345,2.077487336
c3 -> s3,3,3.10187794,3.106327333,3.082884816
c3 -> s3,4,4.0039751355,4.007240572,3.998399385
c3 -> s3,5,4.989764864500001,4.992253284,4.985884653
c3 -> s3,6,6.0096514864,6.014102218,5.996016206
c3 -> s3,7,6.9625127313999995,6.968692207,6.953525907
c3 -> s3,8,7.9376066587,7.941437429,7.931992853
c3 -> s3,9,8.534827998299999,8.536562637,8.529365783
c3 -> s3,10,8.5355179313,8.538501762,8.529178661
