flow,bandwidth,media,maior_valor,menor_valor
c1 -> s1,1,1.0040463496151335,1.00628675403293,1.0001491939878568
c1 -> s1,2,2.0430097878163402,2.0466857497654285,2.0339798064148944
c1 -> s1,3,2.9773540247316572,2.9953654757105177,2.959509678796144
c1 -> s1,4,3.1573276442452167,3.202621315966668,3.096351337031185
c1 -> s1,5,3.1559938873589943,3.1962561921272834,3.0978101901026367
c1 -> s1,6,3.1656592283382627,3.19596414516056,3.0950268477508587
c1 -> s1,7,3.1556481516334194,3.1967976016780035,3.0977911953606614
c1 -> s1,8,3.1614416859139434,3.19562917864969,3.097835925285937
c1 -> s1,9,3.1636581920895797,3.1974693210739784,3.101594604380352
c1 -> s1,10,3.1653190936150217,3.2108431053322266,3.101936265755669
c2 -> s2,1,1.005266703778989,1.006225498389841,1.0003731670607623
c2 -> s2,2,2.043786075024145,2.0460574562066274,2.032343547019364
c2 -> s2,3,2.988866012120871,3.014490322940476,2.972995600628708
c2 -> s2,4,3.169489129627168,3.1947295408216827,3.10959641454164
c2 -> s2,5,3.164167850837138,3.197569801995924,3.096726024526146
c2 -> s2,6,3.172304478344148,3.195634234226039,3.1015774312890656
c2 -> s2,7,3.1633326114757514,3.195231102236172,3.0980608199623325
c2 -> s2,8,3.153226448957527,3.19180947859799,3.096465203051236
c2 -> s2,9,3.1600311051464525,3.1964338485311345,3.097785680801784
c2 -> s2,10,3.1399084615561863,3.208017333070712,3.096731535312947
c3 -> s3,1,1.005483081605513,1.006273983511559,1.0022960409538657
c3 -> s3,2,2.0472105902218294,2.079234817728669,2.0378292082253693
c3 -> s3,3,2.9836128677664933,2.999405541962075,2.96494328406176
c3 -> s3,4,3.1568954800415354,3.195981211372064,3.095222924649342
c3 -> s3,5,3.165842101038153,3.195272800828731,3.104855942935767
c3 -> s3,6,3.149688763785351,3.2096346884223466,3.1011493921071502
c3 -> s3,7,3.1672724189189485,3.196570276812193,3.096587648976231
c3 -> s3,8,3.170466306284152,3.1962233183744746,3.105811786813625
c3 -> s3,9,3.16627076989878,3.2045318196684427,3.0992185530229204
c3 -> s3,10,3.182594005788199,3.1957644208264337,3.115030137467345
